NinjaScript File,Error,Code,Line,Column,
CG_NT8_AutoDeployer_AddOn_v0_1.cs,The call is ambiguous between the following methods or properties: 'CG_NT8_AutoDeployer_AddOn_v0_1.IsFileReady(string)' and 'CG_NT8_AutoDeployer_AddOn_v0_1.IsFileReady(string)',CS0121,158,26,
CG_NT8_AutoDeployer_AddOn_v0_1.cs,The call is ambiguous between the following methods or properties: 'CG_NT8_AutoDeployer_AddOn_v0_1.Log(string string)' and 'CG_NT8_AutoDeployer_AddOn_v0_1.Log(string string)',CS0121,160,25,
CG_NT8_AutoDeployer_AddOn_v0_1.cs,The call is ambiguous between the following methods or properties: 'CG_NT8_AutoDeployer_AddOn_v0_1.InstallStrategyFile(string)' and 'CG_NT8_AutoDeployer_AddOn_v0_1.InstallStrategyFile(string)',CS0121,167,25,
CG_NT8_AutoDeployer_AddOn_v0_1.cs,The call is ambiguous between the following methods or properties: 'CG_NT8_AutoDeployer_AddOn_v0_1.InstallConfigFile(string)' and 'CG_NT8_AutoDeployer_AddOn_v0_1.InstallConfigFile(string)',CS0121,169,25,
CG_NT8_AutoDeployer_AddOn_v0_1.cs,The call is ambiguous between the following methods or properties: 'CG_NT8_AutoDeployer_AddOn_v0_1.Log(string string)' and 'CG_NT8_AutoDeployer_AddOn_v0_1.Log(string string)',CS0121,171,25,
CG_NT8_AutoDeployer_AddOn_v0_1.cs,The call is ambiguous between the following methods or properties: 'CG_NT8_AutoDeployer_AddOn_v0_1.Log(string string)' and 'CG_NT8_AutoDeployer_AddOn_v0_1.Log(string string)',CS0121,175,21,
CG_NT8_AutoDeployer_AddOn_v0_1.cs,Ambiguity between 'CG_NT8_AutoDeployer_AddOn_v0_1.strategiesDir' and 'CG_NT8_AutoDeployer_AddOn_v0_1.strategiesDir',CS0229,196,44,
CG_NT8_AutoDeployer_AddOn_v0_1.cs,Ambiguity between 'CG_NT8_AutoDeployer_AddOn_v0_1.archiveDir' and 'CG_NT8_AutoDeployer_AddOn_v0_1.archiveDir',CS0229,202,50,
CG_NT8_AutoDeployer_AddOn_v0_1.cs,The call is ambiguous between the following methods or properties: 'CG_NT8_AutoDeployer_AddOn_v0_1.Log(string string)' and 'CG_NT8_AutoDeployer_AddOn_v0_1.Log(string string)',CS0121,204,17,
CG_NT8_AutoDeployer_AddOn_v0_1.cs,The call is ambiguous between the following methods or properties: 'CG_NT8_AutoDeployer_AddOn_v0_1.Log(string string)' and 'CG_NT8_AutoDeployer_AddOn_v0_1.Log(string string)',CS0121,208,13,
CG_NT8_AutoDeployer_AddOn_v0_1.cs,Ambiguity between 'CG_NT8_AutoDeployer_AddOn_v0_1.rootDir' and 'CG_NT8_AutoDeployer_AddOn_v0_1.rootDir',CS0229,210,48,
