param_name,trigger_model,trade_side,setup_family,wall_side,delta_flip_pattern,orb_position,time_bucket,atr_regime,session_extreme_location,trades,win_rate,gross_expectancy_ticks,net_expectancy_ticks,avg_hold_seconds,avg_mfe_ticks,avg_mae_ticks,stops,vwap_targets,orb_targets,opposite_exits,timeouts
S16_VWAP_ORB_OPP_BE12p1_T10m,CONFIRM_8T_PULLBACK,LONG,BREAK,ASK,SELL_TO_BUY_FLIP,BELOW_OR_LOW,CLOSE,NORMAL_VOL,MID_SESSION_RANGE,112,0.17857142857142858,1.2142857142857142,-4.185714285714286,5.871409508928571,7.303571428571429,4.642857142857143,13,0,0,99,0
S20_ORB_ONLY_BE16p2_T10m,CONFIRM_6T_PULLBACK,LONG,BREAK,ASK,SELL_TO_BUY_FLIP,BELOW_OR_LOW,CLOSE,NORMAL_VOL,MID_SESSION_RANGE,122,0.12295081967213115,0.9180327868852459,-4.481967213114753,128.0284809590164,29.42622950819672,11.065573770491802,107,0,0,0,15
S20_VWAP_ONLY_BE16p2_T10m,CONFIRM_6T_PULLBACK,LONG,BREAK,ASK,SELL_TO_BUY_FLIP,BELOW_OR_LOW,CLOSE,NORMAL_VOL,MID_SESSION_RANGE,122,0.12295081967213115,0.9180327868852459,-4.481967213114753,128.0284809590164,29.42622950819672,11.065573770491802,107,0,0,0,15
S20_ORB_ONLY_BE16p2_T10m,CONFIRM_6T_PULLBACK,SHORT,BREAK,BID,BUY_TO_SELL_FLIP,BELOW_OR_LOW,PM_DRIFT,NORMAL_VOL,MID_SESSION_RANGE,144,0.13194444444444445,0.7708333333333334,-4.629166666666666,134.09566144444443,29.96527777777778,13.791666666666666,125,0,0,0,19
S24_VWAP_ORB_NOOPP_BE20p4_T15m,CONFIRM_8T_PULLBACK,LONG,BREAK,ASK,SELL_TO_BUY_FLIP,BELOW_OR_LOW,CLOSE,NORMAL_VOL,MID_SESSION_RANGE,112,0.10714285714285714,0.7321428571428571,-4.667857142857143,195.91402361607143,33.455357142857146,15.223214285714286,100,0,0,0,12
S24_NO_TARGET_OPP_BE20p4_T15m,CONFIRM_6T_PULLBACK,SHORT,REJECTION,ASK,CONTINUED_SELL,BELOW_OR_LOW,CLOSE,NORMAL_VOL,MID_SESSION_RANGE,218,0.24770642201834864,0.7110091743119266,-4.688990825688074,6.387739376146789,6.481651376146789,5.284403669724771,5,0,0,213,0
S24_NO_TARGET_OPP_BE20p4_T15m,CONFIRM_8T_PULLBACK,SHORT,REJECTION,ASK,BUY_TO_SELL_FLIP,BELOW_OR_LOW,PM_DRIFT,NORMAL_VOL,MID_SESSION_RANGE,146,0.1232876712328767,0.5,-4.9,5.76078398630137,5.801369863013699,3.8972602739726026,3,0,0,143,0
S24_NO_TARGET_OPP_BE20p4_T15m,CONFIRM_8T_PULLBACK,SHORT,BREAK,BID,CONTINUED_SELL,BELOW_OR_LOW,CLOSE,NORMAL_VOL,MID_SESSION_RANGE,209,0.22009569377990432,0.44976076555023925,-4.950239234449762,6.712855,6.047846889952153,5.569377990430622,0,0,0,209,0
S24_NO_TARGET_OPP_BE20p4_T15m,CONFIRM_6T_PULLBACK,SHORT,BREAK,BID,BUY_TO_SELL_FLIP,BELOW_OR_LOW,PM_DRIFT,NORMAL_VOL,MID_SESSION_RANGE,144,0.1597222222222222,0.4375,-4.9625,5.315103305555556,5.527777777777778,3.986111111111111,1,0,0,143,0
S24_NO_TARGET_OPP_BE20p4_T15m,CONFIRM_8T_PULLBACK,LONG,BREAK,ASK,SELL_TO_BUY_FLIP,BELOW_OR_LOW,PM_DRIFT,NORMAL_VOL,MID_SESSION_RANGE,137,0.17518248175182483,0.4306569343065693,-4.969343065693431,7.1221961605839414,5.970802919708029,4.569343065693431,0,0,0,137,0
