Instrument,Action,Quantity,Price,Time,ID,E/X,Position,Order ID,Name,Commission,Rate,Account display name,Connection,
MNQ JUN26,Buy,1,25958.75,4/14/2026 1:00:22 PM,8921e7db42a044a3997928fe105bbeee,Entry,1 L,80a78c763d964e4f99e5596130dc37a9,ABSORPTION_153825,$0.00,1,Playback101,Playback,
MNQ JUN26,Sell,1,25959.25,4/14/2026 12:53:09 PM,79e7b5925e7746d694d0aa13925a73ae,Exit,-,a76fe358c4f849cf9fd29a844a036974,Stop loss,$0.00,1,Playback101,Playback,
MNQ JUN26,Buy,1,25964.25,4/14/2026 12:49:05 PM,4933d7cd0bac448186564f3bdb7a18cb,Entry,1 L,75a3f682b24144cc858196732dddb388,ABSORPTION_153821,$0.00,1,Playback101,Playback,
MNQ JUN26,Sell,1,25966.75,4/14/2026 12:42:39 PM,b0f7dbb5d02e4c4499787ad04b4f57a4,Exit,-,0cb57d84ed254e31aad404941e3af6b8,Profit target,$0.00,1,Playback101,Playback,
MNQ JUN26,Buy,1,25958.75,4/14/2026 12:39:29 PM,879ebd025f1f431e9cf01a73cde482a1,Entry,1 L,4ce1276ba2b645a294b5b30414e71f6f,ABSORPTION_153818,$0.00,1,Playback101,Playback,
MNQ JUN26,Sell,1,25956.00,4/14/2026 12:33:52 PM,38b84c3a541d47b6b4ae231f3190cd79,Exit,-,21dcc4743a4d48719cc29ef51b17b163,Profit target,$0.00,1,Playback101,Playback,
MNQ JUN26,Buy,1,25948.00,4/14/2026 12:31:13 PM,f449767079434b6e9cb0c7c0b265eff2,Entry,1 L,76b96877e365439dbe65310f183dec39,ABSORPTION_153815,$0.00,1,Playback101,Playback,
MNQ JUN26,Sell,1,25949.50,4/14/2026 12:25:17 PM,93a08345ed4748c8a36899c3da0f3c99,Exit,-,d05fd1d557604955a93436fa07b9a128,Stop loss,$0.00,1,Playback101,Playback,
MNQ JUN26,Buy,1,25954.50,4/14/2026 12:22:29 PM,6bae3f090c164413bc41e9019c925c13,Entry,1 L,fd4cd00bf8dc42928a0c45b3dd6d0648,ABSORPTION_153811,$0.00,1,Playback101,Playback,
MNQ JUN26,Sell,1,25931.75,4/14/2026 12:16:15 PM,85f2d02b56b649d495a56d0109d3e150,Exit,-,33f6cab75623485089cc1ce5be083d85,Profit target,$0.00,1,Playback101,Playback,
MNQ JUN26,Buy,1,25923.75,4/14/2026 12:14:06 PM,dfaa075cfe624e6b82d406aa239ba6dc,Entry,1 L,76baa75f0b3f4b109c0fb0f16dc618e0,ABSORPTION_153808,$0.00,1,Playback101,Playback,
MNQ JUN26,Buy,1,25921.50,4/14/2026 12:05:14 PM,abd67fc58043440da485e05dfe57b856,Exit,-,d0567a176e1d4e23807826aae679cd36,Stop loss,$0.00,1,Playback101,Playback,
MNQ JUN26,Sell,1,25916.50,4/14/2026 12:05:03 PM,3fd5353e14fa4c7db9b4a08691a3e3d8,Entry,1 S,89e19fb9926e4fa18612c6eaf0540e1b,ABSORPTION_153805,$0.00,1,Playback101,Playback,
MNQ JUN26,Buy,1,25915.75,4/14/2026 11:59:54 AM,4c9441a62f9e43caa7841d8589284bde,Exit,-,d41d787ed97b4685b38d7e35677e657c,Stop loss,$0.00,1,Playback101,Playback,
MNQ JUN26,Sell,1,25910.75,4/14/2026 11:56:19 AM,7c14cdf6ec544bb8a9f6049b897bb331,Entry,1 S,711b03da86f94527b00648cbd2050da2,ABSORPTION_153801,$0.00,1,Playback101,Playback,
MNQ JUN26,Sell,1,25922.50,4/14/2026 11:45:46 AM,7b40176a005e47c6a70461db302ce54c,Exit,-,b93f1d333fa9482586b095527ba21ad0,Stop loss,$0.00,1,Playback101,Playback,
