NinjaScript File,Error,Code,Line,Column,
CGScalpingStrategyNT8Native_v4_1_ShortGate.cs,Ambiguity between 'CGScalpingStrategyNT8Native_v4_1_ShortGate.HardLossLimit' and 'CGScalpingStrategyNT8Native_v4_1_ShortGate.HardLossLimit',CS0229,281,5,
CGScalpingStrategyNT8Native_v4_1_ShortGate.cs,Ambiguity between 'CGScalpingStrategyNT8Native_v4_1_ShortGate.BarIntervalMinutes' and 'CGScalpingStrategyNT8Native_v4_1_ShortGate.BarIntervalMinutes',CS0229,286,42,
CGScalpingStrategyNT8Native_v4_1_ShortGate.cs,Ambiguity between 'CGScalpingStrategyNT8Native_v4_1_ShortGate.currentBar' and 'CGScalpingStrategyNT8Native_v4_1_ShortGate.currentBar',CS0229,291,5,
CGScalpingStrategyNT8Native_v4_1_ShortGate.cs,The call is ambiguous between the following methods or properties: 'CGScalpingStrategyNT8Native_v4_1_ShortGate.OrderFlowBar.OrderFlowBar()' and 'CGScalpingStrategyNT8Native_v4_1_ShortGate.OrderFlowBar.OrderFlowBar()',CS0121,291,22,
CGScalpingStrategyNT8Native_v4_1_ShortGate.cs,Ambiguity between 'CGScalpingStrategyNT8Native_v4_1_ShortGate.OrderFlowBar.Timestamp' and 'CGScalpingStrategyNT8Native_v4_1_ShortGate.OrderFlowBar.Timestamp',CS0229,291,37,
CGScalpingStrategyNT8Native_v4_1_ShortGate.cs,Ambiguity between 'CGScalpingStrategyNT8Native_v4_1_ShortGate.emaFast' and 'CGScalpingStrategyNT8Native_v4_1_ShortGate.emaFast',CS0229,294,5,
CGScalpingStrategyNT8Native_v4_1_ShortGate.cs,Ambiguity between 'CGScalpingStrategyNT8Native_v4_1_ShortGate.FastEMA' and 'CGScalpingStrategyNT8Native_v4_1_ShortGate.FastEMA',CS0229,294,30,
CGScalpingStrategyNT8Native_v4_1_ShortGate.cs,Ambiguity between 'CGScalpingStrategyNT8Native_v4_1_ShortGate.emaSlow' and 'CGScalpingStrategyNT8Native_v4_1_ShortGate.emaSlow',CS0229,295,5,
CGScalpingStrategyNT8Native_v4_1_ShortGate.cs,Ambiguity between 'CGScalpingStrategyNT8Native_v4_1_ShortGate.SlowEMA' and 'CGScalpingStrategyNT8Native_v4_1_ShortGate.SlowEMA',CS0229,295,30,
CGScalpingStrategyNT8Native_v4_1_ShortGate.cs,Ambiguity between 'CGScalpingStrategyNT8Native_v4_1_ShortGate.ShortGateMaxFails' and 'CGScalpingStrategyNT8Native_v4_1_ShortGate.ShortGateMaxFails',CS0229,302,41,
