entry_time,exit_time,direction,regime,entry_price,exit_price,pnl,bars_held,reason,exit_reason
2025-10-17 11:33:00,2025-10-17 11:33:04,long,choppy,24696.25,24695.0,-10.0,4,choppy_breakout_bid@24700.00,stop_loss
2025-10-17 11:33:15,2025-10-17 11:33:18,long,choppy,24692.0,24690.75,-10.0,3,choppy_breakout_bid@24700.00,stop_loss
2025-10-17 11:33:35,2025-10-17 11:33:42,long,choppy,24687.75,24686.5,-10.0,7,choppy_breakout_bid@24700.00,stop_loss
2025-10-17 11:34:25,2025-10-17 11:34:31,long,choppy,24689.75,24688.5,-10.0,6,choppy_breakout_bid@24700.00,stop_loss
2025-10-17 11:35:45,2025-10-17 11:35:48,long,choppy,24689.75,24688.5,-10.0,3,choppy_breakout_bid@24700.00,stop_loss
2025-10-17 11:35:55,2025-10-17 11:35:59,long,choppy,24687.25,24686.0,-10.0,4,choppy_breakout_bid@24698.00,stop_loss
2025-10-17 11:36:00,2025-10-17 11:36:03,long,choppy,24685.5,24688.0,20.0,3,choppy_breakout_bid@24690.00,profit_target
2025-10-17 11:36:15,2025-10-17 11:36:17,long,choppy,24698.0,24696.75,-10.0,2,choppy_breakout_bid@24702.25,stop_loss
2025-10-17 11:36:20,2025-10-17 11:36:22,long,choppy,24695.75,24698.25,20.0,2,choppy_breakout_bid@24702.25,profit_target
2025-10-17 11:36:35,2025-10-17 11:36:38,short,choppy,24692.25,24693.5,-10.0,3,choppy_breakout_ask@24690.00,stop_loss
2025-10-17 11:36:55,2025-10-17 11:36:56,short,choppy,24709.0,24710.25,-10.0,1,choppy_breakout_ask@24697.25,stop_loss
2025-10-17 11:37:00,2025-10-17 11:37:04,short,choppy,24706.5,24704.0,20.0,4,choppy_breakout_ask@24697.25,profit_target
2025-10-17 11:37:05,2025-10-17 11:37:06,short,choppy,24702.5,24703.75,-10.0,1,choppy_breakout_ask@24690.00,stop_loss
2025-10-17 11:37:15,2025-10-17 11:37:24,long,choppy,24704.75,24707.25,20.0,9,choppy_breakout_bid@24692.25,profit_target
2025-10-17 11:37:25,2025-10-17 11:37:27,short,choppy,24708.5,24709.75,-10.0,2,choppy_breakout_ask@24700.00,stop_loss
